	U-val	alternative	p-val	RBC	CLES
CA1 Pyramidal vs S1 Pyramidal	41134.0	two-sided	0.809588639434417	-0.011782068626245312	0.5058910343131227
CA1 Pyramidal vs Interneuron	55944.0	two-sided	0.5074376620389969	-0.029858988991568802	0.5149294944957844
CA1 Pyramidal vs Mural	27430.0	two-sided	0.002933189564192819	-0.17448083922072355	0.5872404196103618
CA1 Pyramidal vs Astrocyte	43991.0	two-sided	4.828260827684337e-05	-0.2051338246171548	0.6025669123085774
CA1 Pyramidal vs Oligodendrocyte	82188.0	two-sided	6.603787301540799e-07	-0.21192638905273098	0.6059631945263655
CA1 Pyramidal vs Endothelial	66357.0	two-sided	2.3658589051715856e-07	-0.23333271378919385	0.6166663568945969
CA1 Pyramidal vs Ependymal	97488.0	two-sided	1.208883729378498e-22	-0.41586545443982925	0.7079327272199146
CA1 Pyramidal vs Microglia	93282.0	two-sided	6.469597543126703e-24	-0.434048702496618	0.717024351248309
S1 Pyramidal vs Interneuron	37650.0	two-sided	0.6816078923789851	-0.02046347743596688	0.5102317387179834
S1 Pyramidal vs Mural	18414.0	two-sided	0.010000646339367428	-0.1608510638297873	0.5804255319148937
S1 Pyramidal vs Astrocyte	29686.0	two-sided	0.0003178681962412432	-0.19737823938691146	0.5986891196934557
S1 Pyramidal vs Oligodendrocyte	55411.0	two-sided	2.056947600521206e-05	-0.20301780286582716	0.6015089014329136
S1 Pyramidal vs Endothelial	44859.0	two-sided	5.210155495695578e-06	-0.22758431962783066	0.6137921598139153
S1 Pyramidal vs Ependymal	66300.0	two-sided	1.5271882500566002e-18	-0.41772693253501547	0.7088634662675077
S1 Pyramidal vs Microglia	63356.0	two-sided	1.669732666600743e-19	-0.4340425531914893	0.7170212765957447
Interneuron vs Mural	24105.0	two-sided	0.02101829197010568	-0.1372965322009907	0.5686482661004953
Interneuron vs Astrocyte	38750.0	two-sided	0.0009692795539784185	-0.16974069490143995	0.58487034745072
Interneuron vs Oligodendrocyte	72347.0	two-sided	6.035652302856207e-05	-0.17553295203431696	0.5877664760171585
Interneuron vs Endothelial	58643.0	two-sided	1.368755360359927e-05	-0.20103631187662563	0.6005181559383128
Interneuron vs Ependymal	86340.0	two-sided	2.0647130046843355e-18	-0.38174951189066353	0.6908747559453318
Interneuron vs Microglia	82586.0	two-sided	1.6651200650038898e-19	-0.39900393007182555	0.6995019650359128
Mural vs Astrocyte	14917.0	two-sided	0.4577003553833646	-0.047358258732666414	0.5236791293663332
Mural vs Oligodendrocyte	27888.0	two-sided	0.3495350450235154	-0.053968253968254	0.526984126984127
Mural vs Endothelial	22913.0	two-sided	0.12471209711466118	-0.09148505418601882	0.5457425270930094
Mural vs Ependymal	35047.0	two-sided	1.215946934130046e-07	-0.30455983621812766	0.6522799181090638
Mural vs Microglia	33574.0	two-sided	2.583427694786891e-08	-0.32285263987391644	0.6614263199369582
Astrocyte vs Oligodendrocyte	41664.0	two-sided	0.8802069639255401	-0.007447528774543022	0.5037237643872715
Astrocyte vs Endothelial	34416.0	two-sided	0.34259040410424924	-0.048932506362292516	0.5244662531811463
Astrocyte vs Ependymal	52784.0	two-sided	1.746179389088108e-07	-0.2570911429183833	0.6285455714591917
Astrocyte vs Microglia	50572.0	two-sided	3.2005402364074815e-08	-0.2748815165876777	0.6374407582938388
Oligodendrocyte vs Endothelial	63501.0	two-sided	0.3413787121624847	-0.04175142725900649	0.5208757136295032
Oligodendrocyte vs Ependymal	96926.0	two-sided	3.6561617947788704e-09	-0.24251358834991277	0.6212567941749564
Oligodendrocyte vs Microglia	93334.0	two-sided	1.6627186407264884e-10	-0.2664730785931393	0.6332365392965696
Endothelial vs Ependymal	73139.0	two-sided	3.225497036543846e-05	-0.18177705246489673	0.5908885262324484
Endothelial vs Microglia	70958.0	two-sided	1.4102103675315906e-06	-0.2136211260860641	0.606810563043032
Ependymal vs Microglia	78180.0	two-sided	0.280432550251725	-0.04485191917031961	0.5224259595851598
